channel,estadias,ingreso_bs,ticket_medio_bs,pct_estadias
PARTICULAR,1964,1424903.0,726.0,27.0
BOOKING,537,534123.0,995.0,7.4
EXPEDIA,243,199216.0,820.0,3.3
CUARTA DIMENSION,239,222460.0,931.0,3.3
TAKUARAL,239,235377.0,985.0,3.3
INTI,119,85023.0,714.0,1.6
HELVETAS,115,81145.0,706.0,1.6
CLIENTE,109,61482.0,564.0,1.5
CXC,86,46250.0,538.0,1.2
TROPICAL TOURS,83,53235.0,641.0,1.1
EFECTIVO,77,20030.0,260.0,1.1
VIVA,67,36590.0,546.0,0.9
BANCO ECONOMICO,66,38385.0,582.0,0.9
BANCO UNION,64,58809.0,919.0,0.9
LIC. NATY,52,25510.0,491.0,0.7
