room,estadias,noches,ingreso_bs,adr_bs
5,644,1278.0,400778.0,314.0
7,545,1076.0,330518.0,307.0
19,316,625.0,292666.0,468.0
1,469,933.0,275688.0,295.0
16,401,789.0,249360.0,316.0
8,432,827.0,244493.0,296.0
15,342,769.0,242427.0,315.0
27,264,537.0,230897.0,430.0
20,253,509.0,228089.0,448.0
17,150,298.0,200885.0,674.0
4,357,715.0,197054.0,276.0
21,240,509.0,175806.0,345.0
25,245,494.0,172697.0,350.0
9,178,338.0,172129.0,509.0
32,226,561.0,168736.0,301.0
34,159,343.0,166085.0,484.0
18,207,466.0,160198.0,344.0
28,178,375.0,155040.0,413.0
22,171,323.0,151279.0,468.0
23,170,347.0,148452.0,428.0
26,179,384.0,147534.0,384.0
29,179,446.0,147474.0,331.0
30,176,320.0,139012.0,434.0
24,137,318.0,114066.0,359.0
10,105,207.0,111862.0,540.0
35,109,222.0,100885.0,454.0
36,102,191.0,100517.0,526.0
3,77,146.0,91331.0,626.0
2,144,305.0,90905.0,298.0
33,100,212.0,88828.0,419.0
11,106,225.0,87998.0,391.0
6,111,220.0,76166.0,346.0
12,51,125.0,63198.0,506.0
31,77,192.0,61767.0,322.0
37,55,123.0,53807.0,437.0
14,65,143.0,45473.0,318.0
