empresa_raw,channel_code,n_estadias
PARTICULAR,DIRECTO,1964
BOOKING,OTA,537
EXPEDIA,OTA,243
TAKUARAL,AGENCIA,239
CUARTA DIMENSION,AGENCIA,239
INTI,EMPRESA,119
HELVETAS,EMPRESA,115
CLIENTE,REFERIDO,109
CXC,NOISE,86
TROPICAL TOURS,AGENCIA,83
EFECTIVO,NOISE,77
VIVA,AGENCIA,67
BANCO ECONOMICO,EMPRESA,66
BANCO UNION,EMPRESA,64
LIC. NATY,REFERIDO,52
CRECER,EMPRESA,50
NOCHE DE BODAS,EVENTO,44
TARJETA,NOISE,41
COBOL,EMPRESA,41
PIL ANDINA,EMPRESA,39
LIBOBASQUET,EMPRESA,39
BIOTECH,EMPRESA,38
CIES,EMPRESA,38
UARTA DIMENSION,AGENCIA,38
VISION MUNDO,EMPRESA,36
DMC,AGENCIA,36
TAKUARAL TOURS,AGENCIA,35
GOETHE-INSTITUT,EMPRESA,35
FYP,EMPRESA,35
HIDALGO TOURS,AGENCIA,33
BANCO UNIÓN,EMPRESA,32
LIC. NATHY,REFERIDO,32
GIZ,EMPRESA,29
PLAZA,EMPRESA,28
ZEPPELIN,UNKNOWN,28
VETERQUIMICA,EMPRESA,27
COL. MEDICO SANTA CRUZ,EMPRESA,27
IRD,EMPRESA,26
ENDE,EMPRESA,25
BANCO DE CREDITO,EMPRESA,24
EUROFINSA,EMPRESA,24
ANDES DISCOVERY,AGENCIA,24
ANDAVENTURE,AGENCIA,24
BCP,EMPRESA,23
COLEGIO ALEMAN SCZ,EMPRESA,23
ONU,EMPRESA,23
NATALIA,REFERIDO,22
HUMANITARIAN,EMPRESA,22
FIIAP,EMPRESA,22
FELAFACS,EMPRESA,22
MANQA,EMPRESA,22
CORTEX,EMPRESA,21
LIC NATY,REFERIDO,20
BANCO GANADERO,EMPRESA,20
FACEBOOK,DIRECTO,19
CBM,EMPRESA,18
CRUZ ROJA BOLIVIANA,EMPRESA,18
MARIE STOPES,EMPRESA,18
AGETIC,EMPRESA,18
IPAS,EMPRESA,18
U CATOLICA,EMPRESA,18
FAIR PLAY,EMPRESA,17
REDES,DIRECTO,17
SUSANA CAMPOS,REFERIDO,17
DANITA TOURS,AGENCIA,17
CORTEX BOLIVIA,EMPRESA,16
REAL SANTA CRUZ,EMPRESA,16
C/C,NOISE,16
FIAP,EMPRESA,16
SAN MIGUEL ABOGADOS,EMPRESA,16
